trajectory_id,particle,phase_pre,phase_post,rel_x_pre_um,rel_y_pre_um,rel_z_pre_um,rel_x_post_um,rel_y_post_um,rel_z_post_um,step_len_um,edep_keV
T000227,Li7,binder_void,BN,-0.1733,0.831476,-0.10925,-0.2385,1.114532,-0.17292,0.297509,33.9148
T000227,Li7,BN,binder_void,-0.2385,1.114532,-0.17292,-0.3977,1.850103,-0.34767,0.777372,226.717
T000227,Li7,binder_void,ZnS,-0.3977,1.850103,-0.34767,-0.4341,2.07031,-0.40609,0.232544,12.9571
T000227,Li7,ZnS,ZnS,-0.4341,2.07031,-0.40609,-0.4799,2.1856,-0.44317,0.139829,29.9582
T000227,Li7,ZnS,ZnS,-0.4799,2.1856,-0.44317,-0.5515,2.24094,-0.52205,0.1534,7.72206
T000227,Li7,ZnS,binder_void,-0.5515,2.24094,-0.52205,-0.5352,2.24657,-0.5792,0.11573,10.7308
T000227,Li7,binder_void,binder_void,-0.5352,2.24657,-0.5792,-0.5279,2.16994,-0.59912,0.104207,4.026
T000227,Li7,binder_void,binder_void,-0.5279,2.16994,-0.59912,-0.5084,2.16251,-0.65035,0.0846895,1.44456
T000227,Li7,binder_void,binder_void,-0.5084,2.16251,-0.65035,-0.5084,2.16251,-0.65035,0,0
T000228,alpha,BN,binder_void,0,0,0,0.0079,-0.03819,0.00502,0.0393393,11.6852
T000228,alpha,binder_void,BN,0.0079,-0.03819,0.00502,0.251,-1.20141,0.15679,1.19806,178.152
T000228,alpha,BN,binder_void,0.251,-1.20141,0.15679,0.3788,-1.78477,0.22982,0.601707,232.542
T000228,alpha,binder_void,BN,0.3788,-1.78477,0.22982,0.4434,-2.06851,0.26215,0.292798,49.5289
T000228,alpha,BN,binder_void,0.4434,-2.06851,0.26215,0.5796,-2.7889,0.3325,0.736697,335.099
T000228,alpha,binder_void,BN,0.5796,-2.7889,0.3325,0.5969,-2.87876,0.3428,0.0920758,15.3282
T000228,alpha,BN,binder_void,0.5969,-2.87876,0.3428,0.7114,-3.46681,0.40863,0.602939,285.984
T000228,alpha,binder_void,BN,0.7114,-3.46681,0.40863,0.9065,-4.44006,0.5306,1.00074,165.905
T000228,alpha,BN,binder_void,0.9065,-4.44006,0.5306,1.1358,-5.40662,0.62998,1.00818,102.473
T000228,alpha,binder_void,BN,1.1358,-5.40662,0.62998,1.3597,-5.81162,0.4174,0.511498,37.0138
T000228,alpha,BN,BN,1.3597,-5.81162,0.4174,1.5825,-6.25101,0.26968,0.546634,56.2879
T000228,alpha,BN,BN,1.5825,-6.25101,0.26968,1.5825,-6.25101,0.26968,0,0
T000229,Li7,BN,binder_void,0,0,0,-0.0639,-0.00362,-0.00059,0.0639805,39.7823
T000229,Li7,binder_void,binder_void,-0.0639,-0.00362,-0.00059,-2.0384,-0.11319,0.01993,1.97882,315.204
T000229,Li7,binder_void,BN,-2.0384,-0.11319,0.01993,-2.0522,-0.1139,0.02,0.0138733,2.49616
T000229,Li7,BN,binder_void,-2.0522,-0.1139,0.02,-2.5277,-0.13951,0.02259,0.476741,233.721
T000229,Li7,binder_void,BN,-2.5277,-0.13951,0.02259,-2.5847,-0.14972,0.02151,0.0579538,5.88239
T000229,Li7,BN,binder_void,-2.5847,-0.14972,0.02151,-2.7535,-0.18019,0.01863,0.171825,66.86
T000229,Li7,binder_void,BN,-2.7535,-0.18019,0.01863,-3.5893,-0.32788,-0.00345,0.853369,73.3493
T000229,Li7,BN,BN,-3.5893,-0.32788,-0.00345,-4.3547,-0.36747,0.00216,0.818672,102.705
T000229,Li7,BN,BN,-4.3547,-0.36747,0.00216,-4.3547,-0.36747,0.00216,0,0
T000230,alpha,BN,binder_void,0,0,0,0.5534,0.03135,0.00516,0.554339,211.421
T000230,alpha,binder_void,BN,0.5534,0.03135,0.00516,1.4922,0.11137,0.00729,0.942258,149.006
T000230,alpha,BN,binder_void,1.4922,0.11137,0.00729,1.7679,0.13611,0.00872,0.27682,113.778
T000230,alpha,binder_void,BN,1.7679,0.13611,0.00872,3.84518,0.31298,-0.00493,2.0853,326.965
T000230,alpha,BN,binder_void,3.84518,0.31298,-0.00493,4.09704,0.3316,-0.01235,0.2527,116.53
T000230,alpha,binder_void,BN,4.09704,0.3316,-0.01235,4.42888,0.35788,-0.02267,0.333066,56.6996
T000230,alpha,BN,binder_void,4.42888,0.35788,-0.02267,5.38926,0.44408,-0.04875,0.965716,311.163
T000230,alpha,binder_void,BN,5.38926,0.44408,-0.04875,5.76958,0.54006,-0.05979,0.392746,55.3776
T000230,alpha,BN,binder_void,5.76958,0.54006,-0.05979,6.02474,0.61559,-0.06255,0.267086,54.241
T000230,alpha,binder_void,ZnS,6.02474,0.61559,-0.06255,6.15124,0.66997,-0.05545,0.138105,13.2931
T000230,alpha,ZnS,ZnS,6.15124,0.66997,-0.05545,6.43797,0.73756,0.05372,0.328423,55.1107
T000230,alpha,ZnS,ZnS,6.43797,0.73756,0.05372,6.56778,0.88829,0.01616,0.351227,5.24634
T000230,alpha,ZnS,ZnS,6.56778,0.88829,0.01616,6.56962,0.88987,0.01153,0.189301,1.16803
T000230,alpha,ZnS,ZnS,6.56962,0.88987,0.01153,6.56962,0.88987,0.01153,0,0
T000231,Li7,BN,binder_void,0,0,0,-0.0246,0.01883,-0.03504,0.0467658,28.6486
T000231,Li7,binder_void,ZnS,-0.0246,0.01883,-0.03504,-0.0587,0.04479,-0.08351,0.0646971,11.2163
T000231,Li7,ZnS,ZnS,-0.0587,0.04479,-0.08351,-0.7588,0.63021,-1.397182,1.60926,654.616
T000231,Li7,ZnS,ZnS,-0.7588,0.63021,-1.397182,-1.6352,0.71356,-2.040455,1.26732,156.231
T000231,Li7,ZnS,ZnS,-1.6352,0.71356,-2.040455,-1.6352,0.71356,-2.040455,0,0
T000232,alpha,BN,binder_void,0,0,0,0.3987,-0.30532,0.56824,0.758406,290.069
T000232,alpha,binder_void,ZnS,0.3987,-0.30532,0.56824,0.4342,-0.33285,0.61882,0.0676318,10.2935
T000232,alpha,ZnS,ZnS,0.4342,-0.33285,0.61882,2.8823,-2.23059,4.11584,4.72815,1169.64
T000232,alpha,ZnS,ZnS,2.8823,-2.23059,4.11584,2.8823,-2.23059,4.11584,0,0
T000233,Li7,BN,binder_void,0,0,0,-0.1667,-0.4626,0.3079,0.580478,355.104
T000233,Li7,binder_void,BN,-0.1667,-0.4626,0.3079,-0.2232,-0.6364,0.43109,0.220451,33.8292
T000233,Li7,BN,binder_void,-0.2232,-0.6364,0.43109,-0.3524,-1.0304,0.71511,0.503343,248.201
T000233,Li7,binder_void,ZnS,-0.3524,-1.0304,0.71511,-0.6004,-1.51714,1.09648,0.668163,66.0643
T000233,Li7,ZnS,ZnS,-0.6004,-1.51714,1.09648,-0.6819,-1.95023,1.57963,0.689825,136.802
T000233,Li7,ZnS,ZnS,-0.6819,-1.95023,1.57963,-0.6819,-1.95023,1.57963,0,0
T000234,alpha,BN,binder_void,0,0,0,0.0752,0.2087,-0.13893,0.261783,91.9215
T000234,alpha,binder_void,BN,0.0752,0.2087,-0.13893,0.098,0.2746,-0.18305,0.0824975,12.1844
T000234,alpha,BN,binder_void,0.098,0.2746,-0.18305,0.2201,0.6262,-0.41893,0.440692,171.722
T000234,alpha,binder_void,ZnS,0.2201,0.6262,-0.41893,0.2342,0.6678,-0.44671,0.0519273,8.14519
T000234,alpha,ZnS,binder_void,0.2342,0.6678,-0.44671,0.9703,2.8444,-1.90213,2.73172,860.324
T000234,alpha,binder_void,BN,0.9703,2.8444,-1.90213,1.0787,3.0896,-2.09532,0.330612,42.3178
T000234,alpha,BN,binder_void,1.0787,3.0896,-2.09532,1.3475,3.6874,-2.56238,0.807163,124.391
T000234,alpha,binder_void,BN,1.3475,3.6874,-2.56238,1.4083,3.7715,-2.62965,0.123668,14.3005
T000234,alpha,BN,BN,1.4083,3.7715,-2.62965,1.7909,4.2747,-3.04766,0.766727,144.693
T000234,alpha,BN,BN,1.7909,4.2747,-3.04766,1.7909,4.2747,-3.04766,0,0
T000235,Li7,BN,binder_void,0,0,0,0.2923,0.1278,-0.28105,0.425328,281.295
T000235,Li7,binder_void,ZnS,0.2923,0.1278,-0.28105,0.5023,0.218,-0.48011,0.303146,44.9909
